name
A Quarterly Journal of Operations Research
ACM Communications in Computer Algebra
ACM Computing Surveys
ACM Crossroads Student Magazine
ACM Journal of Experimental Algorithms
ACM Journal on Computing and Cultural Heritage
ACM Journal on Emerging Technologies in Computing Systems
ACM Queue
ACM Sigada Ada Letters
ACM Sigarch Computer Architecture News
ACM Sigbed Review
ACM Sigcas Computers and Society
ACM Sigmis Database
ACM Sigsoft Software Engineering Notes
ACM Sigweb Newsletter
ACM Transactions in Embedded Computing Systems
ACM Transactions on Accessible Computing
ACM Transactions on Algorithms
ACM Transactions on Architecture and Code Optimization
ACM Transactions on Asian Language Information Processing
ACM Transactions on Autonomous and Adaptive Systems
ACM Transactions on Computation Theory
ACM Transactions on Computational Logic
ACM Transactions on Computer Systems
ACM Transactions on Computer-Human Interaction
ACM Transactions on Database Systems
ACM Transactions on Design Automation of Electronic Systems
ACM Transactions on Graphics
ACM Transactions on Information Systems
ACM Transactions on Information and System Security
ACM Transactions on Intelligent Systems and Technology
ACM Transactions on Internet Technology
ACM Transactions on Knowledge Discovery From Data
ACM Transactions on Mathematical Software
ACM Transactions on Modeling and Computer Simulation
ACM Transactions on Modeling and Performance Evaluation of Computing 
"ACM Transactions on Multimedia Computing, Communications, and Applications"
ACM Transactions on Programming Languages and Systems
ACM Transactions on Reconfigurable Technology and Systems
ACM Transactions on Sensor Networks
ACM Transactions on Software Engineering and Methodology
ACM Transactions on Spatial Algorithms and Systems
ACM Transactions on Speech and Language Processing
ACM Transactions on Storage
ACM Transactions on The Web
AIAA Journal
AIP Advances
Abdominal Imaging
Acta Applicandae Mathematicae
Acta Astronautica
Acta Automatica Sinica
Acta Cybernetica
Acta Informatica
Acta Mathematica Sinica
Acta Numerica
Acta Physica Polonica A
Ad Hoc & Sensor Wireless Networks
Adaptive Behavior
Advanced Data Analysis and Classification
Advanced Engineering Informatics
Advanced Robotics
Advances in Adaptive Data Analysis
Advances in Applied Mathematics
Advances in Applied Probability
Advances in Artificial Intelligence
Advances in Artificial Neural Systems
Advances in Bioinformatics
Advances in Complex Systems
Advances in Computational Mathematics
Advances in Computers
Advances in Engineering Software
Advances in Fuzzy Systems
Advances in High Energy Physics
Advances in Human-computer Interaction
Advances in Mathematics
Advances in Mathematics of Communications
Advances in Numerical Analysis
Advances in Physics
Advances in Software Engineering
Advances in Space Research
Aequationes Mathematicae
Ai & Society
Ai Communications
"Ai Edam Artificial Intelligence for Engineering Design, Analysis and Manufacturing"
Ai Magazine
Algebraic & Geometric Topology
Algorithmic Operations Research
Algorithmica
Algorithms
Algorithms for Molecular Biology
American Journal of Mathematics
American Mathematical Monthly
American Sociological Review
Analysis and Applications
Annales Des Télécommunications
"Annales Umcs, Informatica"
Annals of Applied Probability
Annals of Gis \/ Geographic Information Sciences
Annals of Mathematics
Annals of Mathematics and Artificial Intelligence
Annals of Operations Research
Annals of Pure and Applied Logic
Annals of Statistics
Annual Review of Condensed Matter Physics
Annual Review of Economics
Annual Reviews in Control
"Applicable Algebra in Engineering, Communication and Computing"
Applied Acoustics
Applied Artificial Intelligence
Applied Bionics and Biomechanics
Applied Categorical Structures
Applied Economics Letters
Applied Geography
Applied Intelligence
Applied Mathematical Modelling
Applied Mathematics & Information Sciences
Applied Mathematics Letters
Applied Mathematics and Computation
Applied Mathematics and Optimization
Applied Medical Informaticvs
Applied Numerical Mathematics
Applied Ontology
Applied Optics
Applied Physics Letters
Applied Soft Computing
Applied and Computational Harmonic Analysis
Archive for Mathematical Logic
Ars Combinatoria
Ars Mathematica Contemporanea
Artificial Intelligence
Artificial Intelligence Review
Artificial Intelligence and Law
Artificial Intelligence in Medicine
Artificial Life
Asia-Pacific Journal of Operational Research
Aslib Proceedings
Astronomy and Astrophysics
Astronomy and Computing
Astroparticle Physics
Asymptotic Analysis
Australasian Journal of Information Systems
Automatic Control and Computer Sciences
Automatica
Automation and Remote Control
Autonomous Agents and Multi-Agent Systems
Autonomous Robots
BMC Bioinformatics
BMC Genetics
BMC Genomics
BMC Medical Genomics
BMC Medical Imaging
BMC Medical Informatics and Decision Making
BMC Medical Research Methodology
BMC Neuroscience
BMC Proceedings
BMC Public Health
BMC Research Notes
BMC Systems Biology
Bayesian Analysis
Behavioral and Brain Sciences
Behaviour & Information Technology
Bell Labs Technical Journal
Big Data Research
BioSystems
Biodata Mining
Bioinformatics
Bioinspiration & Biomimetics
Biological Cybernetics
Biology Letters
Biomedical Signal Processing and Control
Biometals
Bioorganic & Medicinal Chemistry Letters
Brain Imaging and Behavior
Brain Informatics
Brain and Cognition
Briefings in Bioinformatics
British Journal of Educational Technology
Bulletin of Mathematical Biology
Bulletin of The American Society for Information Science and Technology
Bulletin of The Australian Mathematical Society
Bulletin of The European Association for Theoretical Computer Science
Bulletin of The Iranian Mathematical Society
Bulletin of The Polish Academy of Sciences-technical Sciences
Business & Information Systems Engineering
Business Process Management Journal
Canadian Journal of Statistics-revue Canadienne De Statistique
Cartographica: The International Journal for Geographic Information and Geovisualization
Celestial Mechanics and Dynamical Astronomy
Central European Journal of Operations Research
Chaos
Chaos Solitons & Fractals
Chemical Biology & Drug Design
Chemical Engineering Research & Design
Chemical Engineering Science
Chemical Science
Chicago Journal of Theoretical Computer Science
Child Development
Chinese Journal of Aeronautics
Chinese Science Bulletin
Circuits Systems and Signal Processing
Clei Electronic Journal
Cluster Computing
Cognition
"Cognition, Technology & Work"
Cognitive Computation
Cognitive Processing
Cognitive Science
Cognitive Systems Research
College & Research Libraries
Combinatorica
"Combinatorics, Probability & Computing"
Combustion and Flame
Communication Research
Communications and Network
Communications in Algebra
Communications in Mathematical Physics
Communications in Mathematical Sciences
Communications in Nonlinear Science and Numerical Simulation
Communications in Statistics - Simulation and Computation
Communications of The ACM
Communications of The Ais
Communications on Pure and Applied Mathematics
Complex Systems
Complexity
Comptes Rendus Mathematique
Computación Y Sistemas
Computational Biology and Chemistry
Computational Complexity
Computational Geometry: Theory and Applications
Computational Intelligence and Neuroscience
Computational Linguistics
Computational Management Science
Computational Mathematics and Mathematical Physics
Computational Mechanics
Computational Optimization and Applications
Computational Science & Discovery
Computational Social Networks
Computational Statistics & Data Analysis
Computational Visual Media
Computational and Mathematical Methods in Medicine
Computational and Mathematical Organization Theory
Computer Aided Geometric Design
Computer Animation and Virtual Worlds
Computer Applications in Engineering Education
Computer Communications
Computer Graphics Forum
"Computer Languages, Systems & Structures"
Computer Methods and Programs in Biomedicine
Computer Methods in Applied Mechanics and Engineering
Computer Music Journal
Computer Networks
Computer Networks and Isdn Systems
Computer Physics Communications
Computer Science
Computer Science - Research and Development
Computer Science Education
Computer Science Review
Computer Science and Information Systems
Computer Speech & Language
Computer Standards & Interfaces
Computer Systems: Science & Engineering
Computer Vision and Image Understanding
Computer-aided Civil and Infrastructure Engineering
Computer-aided Design
Computerized Medical Imaging and Graphics
Computers & Chemical Engineering
Computers & Electrical Engineering
Computers & Fluids
Computers & Geosciences
Computers & Graphics
Computers & Industrial Engineering
Computers & Mathematics With Applications
Computers & Operations Research
Computers & Security
Computers & Structures
Computers and Electronics in Agriculture
Computers in Biology and Medicine
Computers in Education
Computers in Human Behavior
Computers in Industry
"Computers, Environment and Urban Systems"
Computing
Computing and Informatics \/ Computers and Artificial Intelligence
Computing and Visualization in Science
Computing in Science and Engineering
Concurrency and Computation: Practice and Experience
Concurrent Engineering
Connection Science
Constraints - An International Journal
Constructive Approximation
Contexts
Continuum Mechanics and Thermodynamics
Contributions to Discrete Mathematics
Control Engineering Practice
Cryptography and Communications
Cryptologia
Current Bioinformatics
Current Biology
Cybernetics and Human Knowing
Cybernetics and Systems
"Cyberpsychology, Behavior, and Social Networking"
D-lib Magazine
Data Mining and Knowledge Discovery
Data Science Journal
Data Science and Engineering
Database
Datenbank-spektrum
Datenschutz Und Datensicherheit - Dud
Decision Analysis
Decision Sciences
Design Automation for Embedded Systems
"Designs, Codes and Cryptography"
Development
Digital Communications and Networks
Digital Creativity
Digital Humanities Quarterly
Digital Investigation
Digital Signal Processing
Discrete Applied Mathematics
Discrete Event Dynamic Systems
Discrete Mathematics
Discrete Mathematics & Theoretical Computer Science
"Discrete Mathematics, Algorithms and Applications"
Discrete Optimization
Discrete and Computational Geometry
Displays
Distributed Computing
Distributed and Parallel Databases
Duke Mathematical Journal
Dynamic Games and Applications
EPJ Data Science
EPL
"ESAIM: Control, Optimisation and Calculus of Variations"
EURASIP Journal on Advances in Signal Processing
Earth Science Informatics
Ecological Informatics
Econometrica
Economics Bulletin
Economics Letters
Education and Information Technologies
Educational Technology & Society
Egyptian Computer Science Journal
Electronic Colloquium on Computational Complexity
Electronic Commerce Research
Electronic Commerce Research and Applications
Electronic Communication of The European Association of Software Science and Technology
Electronic Communications in Probability
"Electronic Government, An International Journal"
Electronic Journal of Combinatorics
Electronic Journal of Probability
Electronic Journal of Statistics
Electronic Markets
Electronic Notes in Discrete Mathematics
Electronic Notes in Theoretical Computer Science
Electronic Proceedings in Theoretical Computer Science
Electronics Letters
Elektrotechnik Und Informationstechnik
Emisa Forum
Empirical Software Engineering
Energies
Energy
Energy and Buildings
Engineering
